File_name	fra30	fra60	Cancer_Type	Status
ERR10505595-ERR10505609-ERR10505623-ERR10505637	0.878491	0.841049	UC	Normal
ERR10505596-ERR10505610-ERR10505624-ERR10505638	0.855101	0.814094	UC	Tumor
ERR10505597-ERR10505611-ERR10505625-ERR10505639	0.853126	0.803380	UC	Tumor
ERR10505598-ERR10505612-ERR10505626-ERR10505640	0.869629	0.820399	UC	Normal
ERR10505599-ERR10505613-ERR10505627-ERR10505641	0.867162	0.822889	UC	Tumor
ERR10505600-ERR10505614-ERR10505628-ERR10505642	0.855546	0.808235	UC	Normal
ERR10505601-ERR10505615-ERR10505629-ERR10505643	0.825904	0.771489	UC	Tumor
ERR10505602-ERR10505616-ERR10505630-ERR10505644	0.790149	0.725279	UC	Normal
ERR10505603-ERR10505617-ERR10505631-ERR10505645	0.860493	0.817290	UC	Tumor
ERR10505604-ERR10505618-ERR10505632-ERR10505646	0.815212	0.754779	UC	Normal
ERR10505605-ERR10505619-ERR10505633-ERR10505647	0.806481	0.745650	UC	Tumor
ERR10505606-ERR10505620-ERR10505634-ERR10505648	0.844128	0.793909	UC	Normal
ERR10506169-ERR10506199-ERR10506229	0.714888	0.643082	UC	Tumor
ERR10506170-ERR10506200-ERR10506230	0.801387	0.741068	UC	Normal
ERR10506171-ERR10506201-ERR10506231	0.876488	0.834075	UC	Tumor
ERR10506172-ERR10506202-ERR10506232	0.876100	0.838696	UC	Normal
ERR10506173-ERR10506203-ERR10506233	0.657344	0.575450	UC	Tumor
ERR10506174-ERR10506204-ERR10506234	0.720183	0.641512	UC	Normal
ERR10506177-ERR10506207-ERR10506237	0.807960	0.745288	UC	Tumor
ERR10506178-ERR10506208-ERR10506238	0.814337	0.746609	UC	Normal
ERR10506179-ERR10506209-ERR10506239	0.777575	0.719583	UC	Tumor
ERR10506180-ERR10506210-ERR10506240	0.827092	0.776297	UC	Normal
ERR10506181-ERR10506211-ERR10506241	0.829120	0.776633	UC	Tumor
ERR10506182-ERR10506212-ERR10506242	0.867716	0.827163	UC	Normal
ERR10506183-ERR10506213-ERR10506243	0.800851	0.748819	UC	Normal
ERR10506184-ERR10506214-ERR10506244	0.762132	0.699844	UC	Tumor
ERR10506185-ERR10506215-ERR10506245	0.808006	0.755403	UC	Tumor
ERR10506186-ERR10506216-ERR10506246	0.855471	0.815745	UC	Normal
ERR10506187-ERR10506217-ERR10506247	0.795021	0.731741	UC	Tumor
ERR10506188-ERR10506218-ERR10506248	0.825526	0.768720	UC	Normal
ERR10506189-ERR10506219-ERR10506249	0.857365	0.814766	UC	Tumor
ERR10506190-ERR10506220-ERR10506250	0.872628	0.827576	UC	Normal
ERR10506191-ERR10506221-ERR10506251	0.745692	0.678911	UC	Tumor
ERR10506192-ERR10506222-ERR10506252	0.769502	0.702345	UC	Normal
ERR10506193-ERR10506223-ERR10506253	0.822866	0.770364	UC	Tumor
ERR10506194-ERR10506224-ERR10506254	0.871020	0.831074	UC	Normal
ERR10506195-ERR10506225-ERR10506255	0.880752	0.842678	UC	Tumor
ERR10506196-ERR10506226-ERR10506256	0.881737	0.843561	UC	Normal
ERR10506197-ERR10506227-ERR10506257	0.885731	0.847843	UC	Normal
ERR10506198-ERR10506228-ERR10506258	0.880217	0.837724	UC	Tumor
ERR10505650-ERR10505686-ERR10505722-ERR10505758	0.895724	0.859374	UC	Normal
ERR10505652-ERR10505688-ERR10505724-ERR10505760	0.886166	0.848063	UC	Tumor
ERR10505654-ERR10505690-ERR10505726-ERR10505762	0.886041	0.850356	UC	Normal
ERR10506121-ERR10506133-ERR10506145-ERR10506157	0.886274	0.850237	UC	Tumor
ERR10506122-ERR10506134-ERR10506146-ERR10506158	0.877494	0.836284	UC	Normal
ERR10506123-ERR10506135-ERR10506147-ERR10506159	0.836144	0.783062	UC	Tumor
ERR10505657-ERR10505693-ERR10505729-ERR10505765	0.890585	0.855611	UC	Normal
ERR10506124-ERR10506136-ERR10506148-ERR10506160	0.885107	0.847031	UC	Tumor
ERR10505671-ERR10505707-ERR10505743-ERR10505779	0.789321	0.721645	UC	Tumor
ERR10505672-ERR10505708-ERR10505744-ERR10505780	0.833837	0.779758	UC	Normal
ERR10505673-ERR10505709-ERR10505745-ERR10505781	0.706646	0.628721	UC	Tumor
ERR10505674-ERR10505710-ERR10505746-ERR10505782	0.791504	0.729027	UC	Normal
ERR10505675-ERR10505711-ERR10505747-ERR10505783	0.831940	0.781646	UC	Tumor
ERR10505676-ERR10505712-ERR10505748-ERR10505784	0.803296	0.745807	UC	Normal
ERR10505677-ERR10505713-ERR10505749-ERR10505785	0.865966	0.821102	UC	Tumor
ERR10505678-ERR10505714-ERR10505750-ERR10505786	0.881800	0.844275	UC	Normal
ERR10505679-ERR10505715-ERR10505751-ERR10505787	0.844408	0.798990	UC	Tumor
ERR10505680-ERR10505716-ERR10505752-ERR10505788	0.864529	0.820033	UC	Normal
ERR10505682-ERR10505718-ERR10505754-ERR10505790	0.866473	0.826868	UC	Tumor
ERR10505683-ERR10505719-ERR10505755-ERR10505791	0.867146	0.827708	UC	Normal
SRR11352532	0.585400	0.512132	OSA	Tumor
SRR11352531	0.604694	0.527137	OSA	Tumor
SRR11352520	0.550661	0.474961	OSA	Tumor
SRR11352512	0.628028	0.557138	OSA	Tumor
SRR11352511	0.588974	0.521535	OSA	Tumor
SRR11352510	0.563666	0.490278	OSA	Tumor
SRR11352509	0.613505	0.540983	OSA	Tumor
SRR11352508	0.602329	0.528724	OSA	Tumor
SRR11352507	0.621893	0.552119	OSA	Tumor
SRR11352506	0.615360	0.544221	OSA	Tumor
SRR11352530	0.605603	0.539005	OSA	Tumor
SRR11352529	0.620989	0.554462	OSA	Tumor
SRR11352528	0.556679	0.485138	OSA	Tumor
SRR11352527	0.629446	0.560109	OSA	Tumor
SRR11352526	0.608560	0.535073	OSA	Tumor
SRR11352525	0.592199	0.517255	OSA	Tumor
SRR11352524	0.611488	0.544185	OSA	Tumor
SRR11352523	0.609677	0.530945	OSA	Tumor
SRR11352522	0.602800	0.524980	OSA	Tumor
SRR11352521	0.629148	0.557060	OSA	Tumor
SRR11352519	0.596424	0.524076	OSA	Tumor
SRR11352518	0.753482	0.701758	OSA	Tumor
SRR11352517	0.639390	0.566574	OSA	Tumor
SRR11352516	0.639272	0.568661	OSA	Tumor
SRR11352515	0.648256	0.575912	OSA	Tumor
SRR11352514	0.614872	0.528870	OSA	Tumor
SRR11352513	0.643565	0.566715	OSA	Tumor
SRR11451566	0.805410	0.740644	BT	Tumor
SRR11451565	0.694603	0.613495	BT	Tumor
SRR11451563	0.796416	0.726101	BT	Tumor
SRR11451562	0.698216	0.615920	BT	Tumor
SRR11451561	0.796905	0.729471	BT	Tumor
SRR11451560	0.793072	0.723153	BT	Tumor
SRR11451559	0.724209	0.642652	BT	Tumor
SRR11451558	0.747794	0.668117	BT	Tumor
SRR11451557	0.817608	0.754387	BT	Tumor
SRR11451556	0.705693	0.614865	BT	Tumor
SRR11451564	0.726739	0.640804	BT	Tumor
SRR11671222	0.860445	0.829293	NonT	Normal
SRR11671242	0.863393	0.832247	NonT	Normal
SRR11671223	0.863748	0.830854	NonT	Normal
SRR11671221	0.792867	0.754498	NonT	Normal
SRR11671224	0.857712	0.822294	NonT	Normal
SRR11671240	0.870410	0.842487	NonT	Normal
SRR11671226	0.898585	0.873989	NonT	Normal
SRR11671225	0.865772	0.834329	NonT	Normal
SRR11671230	0.845643	0.812918	NonT	Normal
SRR11671227	0.857929	0.824926	NonT	Normal
SRR11671241	0.860870	0.829034	NonT	Normal
SRR11671239	0.865201	0.833682	NonT	Normal
SRR11671238	0.850152	0.815288	NonT	Normal
SRR11671237	0.865698	0.840489	NonT	Normal
SRR11671236	0.871939	0.846035	NonT	Normal
SRR11671235	0.868965	0.841492	NonT	Normal
SRR13050748-SRR13050750-SRR13050751	0.863589	0.833658	HSA	Tumor
SRR13050752	0.880781	0.855592	HSA	Normal
SRR13050744-SRR13050745-SRR13050746	0.856310	0.819961	HSA	Tumor
SRR13050747	0.868478	0.835557	HSA	Normal
SRR13050740-SRR13050741-SRR13050742	0.859225	0.826429	HSA	Tumor
SRR13050743	0.825592	0.785744	HSA	Normal
SRR13050735-SRR13050736-SRR13050737	0.868419	0.838315	HSA	Tumor
SRR13050739	0.864123	0.830357	HSA	Normal
SRR13123343	0.761363	0.709856	OSA	Normal
SRR13123352	0.746584	0.689886	OSA	Tumor
SRR13123341	0.755652	0.700076	OSA	Tumor
SRR13123343	0.761363	0.709856	OSA	Normal
SRR13123338	0.754457	0.697974	OSA	Tumor
SRR13123349	0.730746	0.671713	OSA	Normal
SRR13123347	0.732827	0.688761	OSA	Tumor
SRR13123349	0.730746	0.671713	OSA	Normal
SRR13571720	0.677416	0.611900	BCL	Normal
SRR13571721	0.688559	0.622822	BCL	Tumor
SRR13571658	0.692750	0.626354	BCL	Normal
SRR13571669	0.449509	0.389554	BCL	Tumor
SRR13571636	0.429713	0.369153	BCL	Normal
SRR13571647	0.692314	0.627419	BCL	Tumor
SRR13571590	0.688762	0.622849	BCL	Normal
SRR13571601	0.686087	0.619944	BCL	Tumor
SRR13571686	0.685092	0.619306	BCL	Normal
SRR13571697	0.445854	0.388323	BCL	Tumor
SRR13571708	0.680094	0.614360	BCL	Normal
SRR13571719	0.437144	0.376598	BCL	Tumor
SRR13571616	0.433923	0.373033	BCL	Normal
SRR13571627	0.690997	0.625847	BCL	Tumor
SRR13571605	0.429100	0.368234	BCL	Tumor
SRR13571674	0.689921	0.623255	BCL	Normal
SRR13571672	0.445999	0.384824	BCL	Normal
SRR13571673	0.689581	0.623291	BCL	Tumor
SRR13571670	0.464814	0.403466	BCL	Normal
SRR13571671	0.688347	0.621070	BCL	Tumor
SRR13571667	0.435117	0.373037	BCL	Normal
SRR13571668	0.693902	0.627092	BCL	Tumor
SRR13571665	0.678717	0.610391	BCL	Normal
SRR13571666	0.685591	0.618645	BCL	Tumor
SRR13571663	0.729948	0.665257	BCL	Normal
SRR13571664	0.732126	0.676205	BCL	Tumor
SRR13571661	0.727236	0.667586	BCL	Normal
SRR13571662	0.737666	0.680219	BCL	Tumor
SRR13571659	0.728451	0.669482	BCL	Normal
SRR13571660	0.733958	0.675669	BCL	Tumor
SRR13571656	0.724559	0.664849	BCL	Normal
SRR13571657	0.739057	0.680653	BCL	Tumor
SRR13571654	0.663602	0.599819	BCL	Normal
SRR13571655	0.732707	0.675090	BCL	Tumor
SRR13571652	0.644083	0.584396	BCL	Normal
SRR13571653	0.708100	0.647798	BCL	Tumor
SRR13571650	0.656619	0.593411	BCL	Normal
SRR13571651	0.660621	0.595345	BCL	Tumor
SRR13571648	0.656176	0.594224	BCL	Normal
SRR13571649	0.608302	0.545668	BCL	Tumor
SRR13571645	0.642713	0.578093	BCL	Normal
SRR13571646	0.660446	0.598338	BCL	Tumor
SRR13571643	0.639884	0.574944	BCL	Normal
SRR13571644	0.661291	0.598088	BCL	Tumor
SRR13571641	0.650605	0.585460	BCL	Normal
SRR13571642	0.617767	0.557433	BCL	Tumor
SRR13571639	0.590536	0.526134	BCL	Normal
SRR13571640	0.644686	0.583671	BCL	Tumor
SRR13571637	0.703716	0.641669	BCL	Normal
SRR13571638	0.646268	0.584546	BCL	Tumor
SRR13571634	0.643259	0.578995	BCL	Normal
SRR13571635	0.635381	0.575174	BCL	Tumor
SRR13571632	0.641504	0.579262	BCL	Normal
SRR13571633	0.657205	0.594749	BCL	Tumor
SRR13571630	0.595468	0.531291	BCL	Normal
SRR13571631	0.640748	0.579790	BCL	Tumor
