SampleName	Provided_Breeds	BreedQC
DREV000002	NA	Pass QC
DREV000005	NA	Pass QC
SALU000002	NA	Pass QC
TAZI000003	NA	Pass QC
HOBO000002	NA	Pass QC
AUCD000004	NA	Pass QC
AUCD000002	NA	Pass QC
AUCD000003	NA	Pass QC
AUCD000001	NA	Pass QC
CRSP000004	NA	Pass QC
CRSP000003	NA	Pass QC
CRSP000002	NA	Pass QC
CRSP000001	NA	Pass QC
PULI000004	NA	Pass QC
PULI000005	NA	Pass QC
CAIR000005	NA	Pass QC
CAIR000003	NA	Pass QC
CAIR000004	NA	Pass QC
CAIR000002	NA	Pass QC
CAIR000001	NA	Pass QC
CARD000001	NA	Pass QC
TERV000001	NA	Pass QC
CARD000003	NA	Pass QC
CARD000004	NA	Pass QC
CARD000005	NA	Pass QC
GSZM000003	German Spitz	Pass QC
GSZM000010	German Spitz	Pass QC
GSZM000001	German Spitz	Pass QC
GSPK000009	German Spitz	Pass QC
GSPK000004	German Spitz	Pass QC
GSZM000002	German Spitz	Pass QC
VPIN000004	NA	Pass QC
VPIN000001	NA	Pass QC
VPIN000002	NA	Pass QC
VPIN000003	NA	Pass QC
VPIN000005	NA	Pass QC
VPIN000006	NA	Pass QC
LANC000003	NA	Pass QC
LANC000005	NA	Pass QC
LANC000002	NA	Pass QC
LANC000006	NA	Pass QC
LANC000004	NA	Pass QC
LANC000001	NA	Pass QC
AFFN000001	NA	Pass QC
AFFN000004	NA	Pass QC
AFFN000005	NA	Pass QC
AFFN000006	NA	Pass QC
AFFN000003	NA	Pass QC
BRUS000006	NA	Pass QC
BRUS000002	NA	Pass QC
PBGR000001	NA	Pass QC
BRUS000003	NA	Pass QC
BRUS000004	NA	Pass QC
BRUS000007	NA	Pass QC
BRUS000001	NA	Pass QC
BRUS000005	NA	Pass QC
PBGR000002	NA	Pass QC
POMR000006	NA	Pass QC
POMR000004	NA	Pass QC
POMR000005	NA	Pass QC
POMR000002	NA	Pass QC
GSZM000009	German Spitz	Pass QC
GSPK000002	German Spitz	Pass QC
GSZM000006	German Spitz	Pass QC
GSPK000006	German Spitz	Pass QC
GSPK000007	German Spitz	Pass QC
GSZM000007	German Spitz	Pass QC
GSZM000004	German Spitz	Pass QC
GSPK000011	German Spitz	Pass QC
GSZM000008	German Spitz	Pass QC
GSPK000010	German Spitz	Pass QC
GSZM000012	German Spitz	Pass QC
GSPK000001	German Spitz	Pass QC
GSPK000003	German Spitz	Pass QC
POMR000007	NA	Pass QC
GSZG000007	NA	Pass QC
POMR000003	NA	Pass QC
GSZM000005	German Spitz	Pass QC
POMR000008	NA	Pass QC
GSPK000008	German Spitz	Pass QC
GSPK000005	German Spitz	Pass QC
DAND000006	NA	Pass QC
DAND000003	NA	Pass QC
DAND000002	NA	Pass QC
DAND000004	NA	Pass QC
DAND000001	NA	Pass QC
DAND000005	NA	Pass QC
AIRT000001	NA	Pass QC
CKCS000002	NA	Pass QC
CKCS000004	NA	Pass QC
CKCS000005	NA	Pass QC
CKCS000003	NA	Pass QC
CKCS000001	NA	Pass QC
EGTT000001	NA	Pass QC
BASS000002	NA	Pass QC
BASS000001	NA	Pass QC
BASS000003	NA	Pass QC
BASS000007	NA	Pass QC
BASS000006	NA	Pass QC
BASS000004	NA	Pass QC
BASS000005	NA	Pass QC
SUSX000003	NA	Pass QC
SUSX000006	NA	Pass QC
SUSX000005	NA	Pass QC
SUSX000004	NA	Pass QC
SUSX000002	NA	Pass QC
SUSX000001	NA	Pass QC
TURM000004	NA	Pass QC
SARP000002	NA	Pass QC
PBGA000003	NA	Pass QC
POSD000003	NA	Pass QC
POSD000002	NA	Pass QC
POSD000005	NA	Pass QC
POSD000001	NA	Pass QC
POSD000006	NA	Pass QC
POSD000004	NA	Pass QC
GMSP000004	NA	Pass QC
GMSP000001	NA	Pass QC
GMSP000003	NA	Pass QC
GMSP000002	NA	Pass QC
GMSP000006	NA	Pass QC
GMSP000005	NA	Pass QC
SWEH000004	NA	Pass QC
SWEH000001	NA	Pass QC
SWWE000002	NA	Pass QC
SWWE000001	NA	Pass QC
SWWE000004	NA	Pass QC
SWWE000005	NA	Pass QC
SWWE000006	NA	Pass QC
SWWE000007	NA	Pass QC
SWWE000008	NA	Pass QC
BRIA000001	NA	Pass QC
BRIA000003	NA	Pass QC
BRIA000005	NA	Pass QC
BRIA000004	NA	Pass QC
BRIA000006	NA	Pass QC
BRIA000002	NA	Pass QC
BOLO000003	NA	Pass QC
BOLO000004	NA	Pass QC
BOLO000005	NA	Pass QC
COTO000001	NA	Pass QC
MALT000005	NA	Pass QC
CANM000001	NA	Pass QC
CANM000005	NA	Pass QC
CANM000003	NA	Pass QC
CANM000004	NA	Pass QC
CANM000002	NA	Pass QC
CANM000006	NA	Pass QC
KROM000005	NA	Pass QC
KROM000006	NA	Pass QC
KROM000001	NA	Pass QC
KROM000007	NA	Pass QC
KROM000004	NA	Pass QC
KROM000003	NA	Pass QC
KROM000002	NA	Pass QC
GPYR000006	NA	Pass QC
GPYR000003	NA	Pass QC
GPYR000004	NA	Pass QC
GPYR000002	NA	Pass QC
PYSH000002	NA	Pass QC
BLUE000001	NA	Pass QC
ECKR000002	NA	Pass QC
ECKR000001	NA	Pass QC
ECKR000003	NA	Pass QC
FIEL000001	NA	Pass QC
FIEL000002	NA	Pass QC
FIEL000003	NA	Pass QC
FIEL000004	NA	Pass QC
FIEL000005	NA	Pass QC
ESSP000001	NA	Pass QC
ESSP000002	NA	Pass QC
