SampleName	Provided_Breeds	BreedQC	DiseaseAcronym
CCB030016	Golden Retriever	Pass QC	TCL
CCB070243	Golden Retriever	Pass QC	BCL
DD0224	NA	Pass QC	UC
HS1	NA	Pass QC	HS
DD0049	NA	Pass QC	OM
GSMD000007	Greater Swiss Mountain Dog	Pass QC	NonT
GSMD000008	Greater Swiss Mountain Dog	Pass QC	NonT
GSMD000003	Greater Swiss Mountain Dog	Pass QC	NonT
GSMD000009	Greater Swiss Mountain Dog	Pass QC	NonT
GSMD000010	Greater Swiss Mountain Dog	Pass QC	NonT
GSMD000004	Greater Swiss Mountain Dog	Pass QC	NonT
GSMD000001	Greater Swiss Mountain Dog	Pass QC	NonT
GSMD000002	Greater Swiss Mountain Dog	Pass QC	NonT
GSMD000006	Greater Swiss Mountain Dog	Pass QC	NonT
GSMD000005	Greater Swiss Mountain Dog	Pass QC	NonT
CMT-53	Maltese	Pass QC	MT
CMT-405	Maltese	Pass QC	MT
CMT-374	Maltese	Pass QC	MT
CMT-207	Maltese	Pass QC	MT
CMT-197	Maltese	Pass QC	MT
CMT-99	Maltese	Pass QC	MT
CMT-776	Maltese	Pass QC	MT
119	Maltese	Pass QC	MT
CMT-91	Maltese	Pass QC	MT
007	Maltese	Pass QC	MT
CMT-97	Maltese	Pass QC	MT
CMT-377	Maltese	Pass QC	MT
072	Maltese	Pass QC	MT
CMT-236	NA	Pass QC	MT
CMT-149	Maltese	Pass QC	MT
CMT-168	Maltese	Pass QC	MT
CMT-414	Maltese	Pass QC	MT
CMT-651	Maltese	Pass QC	MT
CMT-173	Maltese	Pass QC	MT
CMT-278	Maltese	Pass QC	MT
CMT-114	Maltese	Pass QC	MT
022	Maltese	Pass QC	MT
CMT-107	Maltese	Pass QC	MT
CMT-276	Maltese	Pass QC	MT
CMT-774	Maltese	Pass QC	MT
CMT-719	Maltese	Pass QC	MT
CMT-93	Maltese	Pass QC	MT
CMT-217	Maltese	Pass QC	MT
CMT-162	Maltese	Pass QC	MT
CMT-725	Maltese	Pass QC	MT
CMT-452	Maltese	Pass QC	MT
132	Maltese	Pass QC	MT
CMT-57	Maltese	Pass QC	MT
CMT-103	Maltese	Pass QC	MT
153	Maltese	Pass QC	MT
CMT-381	Maltese	Pass QC	MT
CMT-182	Maltese	Pass QC	MT
CMT-272	Maltese	Pass QC	MT
CMT-43	NA	Pass QC	MT
DD0398	NA	Pass QC	UC
CMT-59	Maltese	Pass QC	MT
CMT-21	Maltese	Pass QC	MT
CMT-355	Maltese	Pass QC	MT
